CustomerCode,CustomerName,Association,StoreBrand,StreetAddress,Suburb,City,PostCode,GPSPoint,LAT,LON
144258,Ashburton Discounter,Route,,96 Alford Forest Road,ALLENTON,ASHBURTON,7700,POINT (171.7362346 -43.8889535),-43.4902589,171.7362346
141842,First & Last Dairy,Lovedeep,,127 Archibald Street,TINWALD,ASHBURTON,7700,POINT (171.7180335 -43.9214559),-43.4902589,171.7180335
143235,Bel Air Supermarket,Route,,390 East Street,ASHBURTON,ASHBURTON,7700,POINT (171.7503223 -43.9029983),-43.4902589,171.7503223
144918,Revive Shop nd Save,Route,,512 East Street,Ashburton,ASHBURTON,7700,POINT (171.7526557 -43.9014597),-43.4902589,171.7526557
142612,Allenton Food Market,Route,,75 HARRISON STREET,ALLENTON,ASHBURTON,7700,POINT (171.74236 -43.8870631),-43.4902589,171.74236
125115,Netherby Dairy,NSBI,,210 CHALMERS AVENUE,HAMPSTEAD,ASHBURTON,7700,POINT (171.7624944 -43.9035634 0),-43.4902589,171.7624944
143981,Beach Road OTS,OTS - On The Spot,OTS,30 BEACH ROAD,HAMPSTEAD,ASHBURTON,7700,POINT (171.7535609 -43.9126083),-43.4902589,171.7535609
143725,Creek Road Dairy - On the Spot,OTS - On The Spot,OTS,50 CREEK ROAD,ALLENTON,ASHBURTON,7700,POINT (171.7565475 -43.8915076),-43.4902589,171.7565475
142867,Ashburton New World,Foodstuffs South Island,NW,75 Moore Street,Allenton,ASHBURTON,7700,POINT (171.7440113 -43.9036686),-43.4902589,171.7440113
142931,Netherby 4 Square,Foodstuffs South Island,4SQ,2 Bridge Street,NETHERBY,ASHBURTON,7700,POINT (171.7632334 -43.9031526),-43.4902589,171.7632334
144615,Ravenswood New World,Foodstuffs South Island,NW,10 Bob Robertson Drive,Woodend,WOODEND,7691,POINT (172.6712759 -43.3080056),-43.4902589,172.6712759
141954,Springfield Service Centre,Route,,213 Pocock Road,Springfield,SPRINGFIELD,7681,POINT (171.9442131 -43.3238769),-43.4902589,171.9442131
143088,Sue's Takeaway and Convenience Store,NSBI,,555 POUND ROAD,YALDHURST,CHRISTCHURCH,7676,POINT (172.508457 -43.5127728),-43.4902589,172.508457
142990,West Melton 4 Square,Foodstuffs South Island,4SQ,1/736 Weedons Ross Road,West Melton,CHRISTCHURCH,7676,POINT (172.3704125 -43.5232351),-43.4902589,172.3704125
144002,Glentunnel Store (2015) OTS,OTS - On The Spot,OTS,74 Homebush Road,ALLENTON,GLENTUNNEL,7673,POINT (171.9341839 -43.4815508),-43.4902589,171.9341839
144626,Lincoln Convenience Store,Route,,9E GERALD STREET,LINCOLN,CHRISTCHURCH,7672,POINT (172.483935 -43.6405199),-43.4902589,172.483935
142915,Lincoln New World,Foodstuffs South Island,NW,77 Gerald Street,,CHRISTCHURCH,7640,POINT (172.473668 -43.6422817),-43.4902589,172.473668
142644,Leeston Dairy,NSBI,,72 High Street,LEESTON,LEESTON,7632,POINT (172.2984776 -43.7624335),-43.4902589,172.2984776
145360,Kaiapoi Convenience Store,Route,,45 WILLIAMS STREET,KAIAPOI,KAIAPOI,7630,POINT (172.654273 -43.3884699),-43.4902589,172.654273
145350,Caroline Dairy,NSBI,,62 Ohoka Road,,KAIAPOI,7630,POINT (172.6425877 -43.3855823),-43.4902589,172.6425877
142682,Naya Supermarket,Route,,"5/42 Silverstream Boulevard, Kaiapoi",KAIAPOI,KAIAPOI,7630,POINT (172.6362136 -43.3813353),-43.4902589,172.6362136
110481,Red And Black Dairy ,Route,,111 Williams Street,,KAIAPOI,7630,POINT (172.6564931 -43.3836916),-43.4902589,172.6564931
141694,Phone Cloud - Kaiapoi,Route,,Shop 9a,77 Hilton street,KAIAPOI,7630,POINT (172.656868 -43.385357),-43.4902589,172.656868
142907,Kaiapoi New World,Foodstuffs South Island,NW,52 Charles Street,Kaiapoi,CHRISTCHURCH,7630,POINT (172.6600747 -43.3822645),-43.4902589,172.6600747
112652,Springston Dairy,Route,,5 Leeston Road,Springston,CHRISTCHURCH,7616,POINT (172.4266201 -43.6440289),-43.4902589,172.4266201
142455,Faringdon Convenience Store,Route,,8/55 Faringdon Boulevard,ROLLESTON,ROLLESTON,7615,POINT (172.38908 -43.61694),-43.4902589,172.38908
145069,Hollys Dairy,Route,,2 Markham Way,,ROLLESTON,7614,POINT (172.3834738 -43.5954729),-43.4902589,172.3834738
143117,Rolleston OTS,OTS - On The Spot,OTS,10D CHAUCER STREET,ROLLESTON,CHRISTCHURCH,7614,POINT (172.3760177 -43.5924747),-43.4902589,172.3760177
142960,Liquorland Rolleston,Foodstuffs South Island,LH,80B Rolleston Drive,Rolleston,CHRISTCHURCH,7614,POINT (172.3843681 -43.5959638),-43.4902589,172.3843681
142961,Rolleston New World,Foodstuffs South Island,NW,92 Rolleston Drive,,CHRISTCHURCH,7614,POINT (172.3825412 -43.5968657),-43.4902589,172.3825412
122459,Woodend Store,Route,,53 Main North Road,WOODEND,WOODEND,7610,POINT (172.6653921 -43.3232193),-43.4902589,172.6653921
144967,Lincoln Dairy,NSBI,,5b Robert Street,,LINCOLN,7608,POINT (172.4846472 -43.6406303),-43.4902589,172.4846472
125679,Oriental Taste,NSBI,,"UNIT 5B, 19 GERALD STREET",,SELWYN,7608,POINT (172.4823291 -43.6406166),-43.4902589,172.4823291
145054,South Bridge Superette,Route,,104 High Street,,SOUTHBRIDGE,7602,POINT (172.251221 -43.8111876),-43.4902589,172.251221
145179,Burnham Auto Services,Route,,36 Russell Road,,BURNHAM,7600,POINT (172.3003833 -43.6193413),-43.4902589,172.3003833
128461,Duvauchelle Store,Route,,6075 CHRISTCHURCH AKAROA ROAD,"DUVAUCHELLE, BANKS PENINSULA",DUVAUCHELLE,7581,POINT (172.9323506 -43.7502722),-43.4902589,172.9323506
142857,Akaroa 4 Square,Foodstuffs South Island,4SQ,72 Rue Lavaud,,AKAROA,7520,POINT (172.9671423 -43.8049608),-43.4902589,172.9671423
129164,Darfield Tearoom & Dairy,Route,,11 SOUTH TERRACE,,DARFIELD,7510,POINT (172.1154289 -43.49034),-43.4902589,172.1154289
142884,Darfield 4 Square,Foodstuffs South Island,4SQ,76 South Terrace,,DARFIELD,7510,POINT (172.1072002 -43.4889471),-43.4902589,172.1072002
145351,Queenette Dairy,Route,,33 Main Street,Oxford,OXFORD,7430,POINT (172.1945166 -43.2979228),-43.4902589,172.1945166
129311,Amberley Food Store,Route,,164 Carters Road,,AMBERLEY,7410,POINT (172.7294904 -43.1627357),-43.4902589,172.7294904
143320,The Blue Dairy,Route,,98 CARTERS ROAD,AMBERLEY,AMBERLEY,7410,POINT (172.7296167 -43.1549195),-43.4902589,172.7296167
145027,Waikuku Beach General Store,Route,,54 Park Terrace,,WAIKUKU BEACH,7402,POINT (172.7165258 -43.2866825),-43.4902589,172.7165258
129205,West End Dairy,Route,,395 HIGH STREET,,RANGIORA,7400,POINT (172.5841473 -43.3050814),-43.4902589,172.5841473
110652,Rangiora Flowers & Dairy,Route,,97 HIGH STREET,,RANGIORA,7400,POINT (172.5954512 -43.3035266),-43.4902589,172.5954512
142952,Rangiora New World,Foodstuffs South Island,NW,10 Good Street,,RANGIORA,7400,POINT (172.5946552 -43.3025748),-43.4902589,172.5946552
142953,Rangiora PAKnSAVE,Foodstuffs South Island,PNS,2 Southbrook Road,,RANGIORA,7400,POINT (172.5990295 -43.3250671),-43.4902589,172.5990295
129366,Culverden Tearooms,Route,,23 MOUNTAIN VIEW ROAD,,CULVERDEN,7392,POINT (172.8472039 -42.774831),-43.4902589,172.8472039
142901,Hawarden 4 Square,Foodstuffs South Island,4SQ,1 High Street,Hawarden,HAWARDEN,7385,POINT (172.6419272 -42.9232525),-43.4902589,172.6419272
142883,Culverden 4 Square,Foodstuffs South Island,4SQ,28 Mountain View Rd,,CULVERDEN,7345,POINT (172.8482756 -42.7741781),-43.4902589,172.8482756
129779,Hanmer Springs Foodway,Route,,45 AMURI AVENUE,HANMER SPRINGS,HANMER SPRINGS,7334,POINT (172.8277512 -42.5228852),-43.4902589,172.8277512
142899,Hanmer 4 Square,Foodstuffs South Island,4SQ,12A CONICAL HILL ROAD,HANMER SPRINGS,HANMER SPRINGS,7334,POINT (172.8293589 -42.5213493),-43.4902589,172.8293589
143929,Waiau OTS,OTS - On The Spot,OTS,3 LYNDON STREET,WAIAU,HURUNUI,7332,POINT (173.0392581 -42.6552911),-43.4902589,173.0392581
142879,Cheviot 4 Square,Foodstuffs South Island,4SQ,2 ROLLESTON STREET,CHEVIOT,CHEVIOT,7310,POINT (173.2737846 -42.8125447),-43.4902589,173.2737846
142909,Kaikoura LH,Foodstuffs South Island,LH,96 Beach Road,,KAIKOURA,7300,POINT (173.6792015 -42.3916296),-43.4902589,173.6792015
142910,Kaikoura New World,Foodstuffs South Island,NW,124 - 128 Beach Road,,KAIKOURA,7300,POINT (173.6795285 -42.3873423),-43.4902589,173.6795285
142859,Alexandra LH,Foodstuffs South Island,LH,78-80 Centennial Ave,,ALEXANDRA,9320,POINT (169.3876861 -45.2512041),-43.4902589,169.3876861
142869,Avonhead LH,Foodstuffs South Island,LH,120 Withells Road,Avonhead,CHRISTCHURCH,8042,POINT (172.5534742 -43.5170761),-43.4902589,172.5534742
142889,Ferry Road New World,Foodstuffs South Island,NW,7 - 11 St Johns Street,Woolston,CHRISTCHURCH,8062,POINT (172.6841383 -43.5489939),-43.4902589,172.6841383
142898,Hampden 4 Square,Foodstuffs South Island,4SQ,31 London Street,Hampden,HAMPDEN,9410,POINT (170.8171344 -45.3237014),-43.4902589,170.8171344
142921,Marshland RF,Foodstuffs South Island,RF,410 Marshland Rd,Marshland,CHRISTCHURCH,8083,POINT (172.6598153 -43.4764172),-43.4902589,172.6598153
142951,Rangiora LH,Foodstuffs South Island,LH,16 Southbrook Road,,RANGIORA,7410,POINT (172.5987172 -43.323729),-43.4902589,172.5987172
142963,Shirley LH,Foodstuffs South Island,LH,199 Marshlands Road,,CHRISTCHURCH,8083,POINT (172.661073 -43.4937101),-43.4902589,172.661073
